kind,name,x,y,width,depth
wall,ReceptionClosedFront,-1230,900,2580,60
wall,AdminFrontEastAB,1900,900,2720,60
door,PowerShortcutC,3380,900,240,60
wall,PowerFrontEastC,3625,900,250,60
door,OfficeExitB,300,900,480,60
wall,PowerWestBeforeD,2200,965,60,130
door,PowerEntryD,2200,1150,60,240
wall,PowerWestAfterD,2200,1660,60,780
wall,ManagerWest,-1600,1700,60,700
wall,ManagerEast,-650,1700,60,700
wall,RecordsEast,-250,1700,60,700
wall,ArchiveEast,1600,1700,60,700
wall,ManagerFrontA,-1400,1350,400,60
wall,ManagerFrontB,-775,1350,450,60
door,ManagerEntry,-1100,1350,200,60
door,RecordsEntry,-450,1350,200,60
wall,ArchiveFrontA,15,1350,730,60
wall,ArchiveFrontB,670,1350,100,60
window,ArchiveFlashlightObservation,1020,1350,600,4
wall,ArchiveFrontWindowEast,1460,1350,280,60
door,ArchiveEntry,500,1350,240,60
wall,MeetingViewWest,-2460,-750,120,60
window,OfficeMeetingWindow,-1775,-750,1250,4
wall,MeetingViewEast,-545,-750,1210,60
wall,OfficeNorthBoundaryEast,2145,-750,3210,60
door,OfficeExitA,300,-750,480,60
wall,ITGalleryFront,2150,-1200,2000,60
wall,ServerWestAB,1150,-1625,60,850
wall,ServerEastLower,3150,-1855,60,390
wall,ServerEastUpper,3150,-1310,60,220
door,ServerEastEntry,3150,-1540,60,240
wall,SupportDivider0,-2700,-1625,60,850
wall,SupportDivider1,-2200,-1625,60,850
wall,SupportDivider2,-650,-1625,60,850
wall,ToiletsFrontA,-3525,-1200,450,60
wall,ToiletsFrontB,-2825,-1200,550,60
wall,CleanerFrontB,-2275,-1200,150,60
wall,MeetingWindowWest,-2125,-1200,150,60
window,MeetingRoomWindow,-1650,-1200,800,4
wall,MeetingWindowEast,-1160,-1200,180,60
door,MeetingEntry,-950,-1200,240,60
wall,MeetingFrontEast,-325,-1200,1010,60
wall,PantryFrontB,785,-1200,730,60
door,ToiletsEntry,-3200,-1200,200,60
door,CleanerEntry,-2450,-1200,200,60
door,PantryEntry,300,-1200,240,60
